alignment_pos,count
NC-NN,567
P-IN,475
DET-DT,456
"PUNC-,",385
V-VBD,366
ADJ-JJ,231
NC-NNS,214
PUNC-.,197
CLS-PRP,189
ADV-RB,164
P-DT,153
CC-CC,151
DET-NN,144
P-NN,138
DET-PRP$,126
NPP-NNP,108
DET-IN,103
P-TO,102
NC-IN,87
P-RB,86
NC-DT,84
N-NN,83
VPP-VBN,79
VINF-VB,75
NC-JJ,74
PUNC-NN,63
ADV-VBD,61
DET-JJ,60
CLR-VBD,58
ADV-IN,58
V-IN,57
P-VBD,55
DET-NNS,54
"P-,",51
PUNC-IN,50
V-RB,50
V-VBN,49
NC-VBD,48
VPP-NN,47
"NC-,",47
V-NN,46
P-JJ,45
"VPP-,",44
NC-PRP$,43
DET-CD,42
CS-IN,42
V-VBG,42
DET-PRP,42
VPP-VBD,42
ADJ-NN,41
PUNC-DT,40
V-VB,39
P-NNS,38
"DET-,",38
DET-VBD,38
CLO-PRP,36
N-IN,36
VPP-IN,35
NC-NNP,35
P-PRP,35
V-PRP,35
NC-RB,35
ADV-VB,34
V-DT,33
ADJ-RB,32
NC-PRP,31
ADV-NN,30
V-RP,30
PROREL-WDT,29
DET-NNP,29
VPR-VBG,29
P-NNP,27
ADJ-IN,27
NC-VBN,27
ADV-DT,27
N-RB,26
PUNC-CC,26
P-VBN,25
ADV-JJ,25
VINF-TO,25
NC-VBG,25
P-PRP$,25
N-DT,25
V-TO,25
ADJ-DT,24
P-VBG,24
VINF-VBG,24
V-MD,23
PUNC-VBD,23
VPP-JJ,22
PUNC-VBN,22
ADJ-VBD,22
DET-VBN,22
DET-TO,22
CLR-RP,22
V-JJ,22
DET-RB,21
"ADJ-,",21
V-VBZ,21
VPP-RB,20
"NPP-,",20
ADV-PRP,20
P-VB,20
CLS-IN,20
"V-,",20
CLS-NN,20
CLS-VBD,19
VPP-VBG,19
VPR-VBD,19
CLR-VB,18
CLS-DT,18
VPP-RP,18
P-CC,18
NPP-NN,18
NC-TO,18
NC-CC,17
PROREL-IN,17
C-IN,17
VINF-VBD,17
PRO-DT,17
CLR-PRP,17
PUNC-:,17
PUNC-JJ,17
PUNC-RB,16
PUNC-PRP,16
DET-VBG,16
CC-RB,16
VINF-IN,16
P-RP,16
C-RB,15
PRO-NN,15
NC-VB,15
VINF-RP,15
ADJ-CD,15
VPP-CC,15
VPP-DT,14
DET-VB,14
ADJ-VBN,14
ADJ-NNP,14
NPP-DT,14
VINF-VBN,14
CLR-RB,14
CS-WRB,13
V-NNP,13
ADJ-PRP$,13
VPR-NN,13
DET-CC,13
"CLS-,",13
V-VBP,13
N-VBD,13
NPP-IN,13
VINF-PRP,13
VINF-RB,13
VPP-PRP,13
N-NNS,12
ADV-MD,12
CLR-VBN,12
V-PRP$,12
ADJ-VBG,12
N-NNP,12
NC-RP,11
CLO-VBD,11
ADV-TO,11
PRO-PRP,11
CC-IN,11
PRO-JJ,11
NPP-VBD,10
PUNC-VBG,10
VPP-VB,10
PUNC-RP,10
PUNC-NNS,10
VINF-JJ,10
PROREL-WP,10
N-JJ,10
VINF-NN,10
ADV-VBN,10
ADV-NNS,10
ADJ-NNS,9
ADV-RBR,9
P-WRB,9
VPR-PRP,9
"VPR-,",9
PUNC-PRP$,9
CLR-TO,9
VPR-IN,9
DET-RP,9
ADV-NNP,9
ET-'',9
N-PRP,8
CLR-NN,8
CC-NN,8
NPP-PRP,8
PROREL-DT,8
VPR-RP,8
CLS-VBN,8
ADJ-PRP,8
V-NNS,8
CLO-IN,8
NC-WDT,8
"CC-,",8
P-POS,7
CLR-VBG,7
NPP-``,7
P-VBZ,7
NPP-RB,7
VPR-RB,7
CS-DT,7
NC-VBZ,7
ET-NNP,7
DET-WDT,7
PRO-IN,7
NPP-VB,6
"N-,",6
N-CC,6
NC-CD,6
NC-.,6
PUNC-NNP,6
CLS-NNP,6
ADJ-PDT,6
CS-RB,6
CLS-RB,6
CLR-IN,6
P-NNPS,6
VPP-PRP$,6
CLO-TO,6
NPP-'',6
PROREL-NN,5
NPP-JJ,5
ADV-VBP,5
CLO-PRP$,5
PROREL-WRB,5
N-RP,5
DET-.,5
P-CD,5
CS-JJ,5
CS-VBD,5
VPR-TO,5
VPP-TO,5
CLS-JJ,5
V-CC,5
CLO-VB,5
VPR-VBN,4
CS-NN,4
CLS-PRP$,4
CLS-VBZ,4
PUNC-TO,4
ADV-CC,4
"ADV-,",4
PUNC-WDT,4
CLS-VBG,4
VPR-CC,4
P-WDT,4
P-.,4
ET-``,4
DET-VBZ,4
ET-.,4
CLR-PRP$,4
CLR-JJ,4
N-NNPS,4
NC-VBP,4
CLO-RB,4
CLO-VBG,4
PRO-TO,4
ADJ-RP,4
PROREL-PRP,4
CC-``,4
N-CD,4
N-TO,4
N-PRP$,4
NPP-.,4
DET-NNPS,3
DET-PDT,3
PUNC-VBZ,3
CLS-EX,3
CLS-NNS,3
ADJ-VB,3
ADV-EX,3
ADJ-VBZ,3
CS-PRP,3
CS-WDT,3
CS-NNP,3
V-NNPS,3
CLS-CC,3
CLR-VBZ,3
"CLR-,",3
N-WRB,3
NC-MD,3
CLO-RP,3
V-WRB,3
V-WDT,3
CLO-NN,3
CLO-VBN,3
CLR-MD,3
DET-WRB,3
PROREL-WP$,3
N-VBN,3
PROREL-VBD,3
N-VBZ,3
NC-WRB,3
NC-NNPS,3
NC-POS,3
NPP-CC,3
CC-'',3
CC-DT,3
PROREL-NNP,3
PROREL-JJ,3
VINF-VBP,3
NPP-VBN,3
PRO-VBD,3
PRO-VB,3
ADV-RP,3
PRO-CD,3
VPR-JJ,3
VS-VBD,3
ADJ-CC,2
VPR-VB,2
P-PDT,2
PRO-RP,2
PRO-VBG,2
NPP-VBZ,2
VPR-VBZ,2
CLR-VBP,2
ET-RB,2
ET-VB,2
N-VB,2
PROREL-VBN,2
PUNC-'',2
PROREL-TO,2
PROREL-VBG,2
ET-NN,2
PROREL-RP,2
NPP-NNPS,2
NPP-UH,2
PROREL-CC,2
"PROREL-,",2
PRO-WP,2
PRO-WDT,2
NPP-WRB,2
CLO-MD,2
CC-.,2
CC-JJ,2
CC-NNP,2
ADV-WRB,2
VPP-NNS,2
ADJ-WDT,2
ADV-UH,2
VS-VBN,2
VPR-DT,2
VPP-MD,2
VINF-VBZ,2
VPP-VBP,2
VPP-WDT,2
ADV-VBG,2
ADV-VBZ,2
VINF-:,2
CS-VBZ,2
CLS-VB,2
CLS-TO,2
PUNC-WRB,2
V-.,2
"CS-,",2
CLS-WRB,2
DET-POS,2
CS-``,2
PUNC-NNPS,2
PUNC-MD,2
DET-MD,2
CLR-DT,2
CLS-NNPS,2
CLS-MD,2
CLO-JJ,2
CLO-DT,2
CLO-CD,2
VINF-DT,2
VINF-NNP,2
VINF-MD,2
CC-VBN,2
CC-VBG,2
PRO-VBZ,1
VS-DT,1
VS-IN,1
ADJ-.,1
ADJ-JJS,1
ADJ-NNPS,1
ADJ-POS,1
VPR-PRP$,1
ADJ-:,1
PRO-NNP,1
PRO-PRP$,1
PRO-RB,1
PRO-EX,1
VS-PRP,1
P-VBP,1
P-WP,1
VPR-WRB,1
ET-IN,1
PROREL-VBZ,1
NC-WP,1
ET-NNS,1
NPP-RP,1
PROREL-MD,1
PRO-WRB,1
V-EX,1
PUNC-WP,1
CS-CC,1
CLS-WDT,1
CS-WP,1
CS-VB,1
CLS-RP,1
ET-VBP,1
DET-WP$,1
DET-WP,1
DET-VBP,1
"I-,",1
"ET-,",1
DET-EX,1
CS-NNPS,1
CS-PRP$,1
ET-VBD,1
NPP-:,1
PROREL-PRP$,1
PROREL-RB,1
PROREL-NNPS,1
P-MD,1
NC-``,1
NPP-VBG,1
N-VBP,1
N-VBG,1
N-MD,1
NC-PDT,1
CLO-VBP,1
CLO-VBZ,1
VINF-CD,1
CLS-.,1
VINF-POS,1
VINF-PRP$,1
CC-RP,1
CC-VBD,1
CLO-POS,1
CC-PRP,1
VINF-'',1
"VINF-,",1
CLR-NNS,1
CLR-CC,1
C-WRB,1
C-PRP$,1
ADVWH-WDT,1
ADV-WP,1
ADVWH-IN,1
ADVWH-RB,1
ADV-JJR,1
VPP-NNP,1
VPP-.,1
VPP-:,1
VINF-``,1
C-NN,1
ADV-NNPS,1
ADV-JJS,1
ADJ-VBP,1
ADJ-TO,1
ADJ-RBR,1
ADV-PDT,1
VPP-VBZ,1
ADJ-WRB,1
VPP-WRB,1
VPR-EX,1
