alignment_pos,count
NC-NN,90
V-VBD,55
"PUNC-,",53
P-IN,52
DET-DT,51
DET-NN,35
ADV-RB,30
CLS-PRP,28
V-PRP,28
NC-NNS,27
DET-PRP$,27
P-NN,24
DET-IN,22
CLO-PRP,22
V-RB,21
ADJ-JJ,20
V-DT,20
PUNC-.,20
"V-,",20
NC-IN,19
V-NN,19
"DET-,",19
ET-NNP,19
CC-CC,19
P-VBD,18
P-DT,18
NC-VBD,18
DET-PRP,18
NC-DT,17
DET-VBD,17
V-IN,17
DET-NNP,16
ADV-IN,16
ADV-NN,16
VINF-VB,16
NC-PRP,16
CLS-VBD,15
V-VB,15
PUNC-NN,14
ADV-DT,14
NC-NNP,14
DET-NNS,14
ADJ-NN,14
P-TO,14
P-RB,13
ADV-PRP,13
"NC-,",13
DET-JJ,13
NC-RB,13
"ADV-,",12
ADV-VBD,12
PUNC-PRP,12
PUNC-IN,12
DET-CC,12
CLS-DT,12
"CLS-,",12
"ADJ-,",11
DET-TO,11
VINF-NN,11
ADJ-RB,11
PRO-DT,11
"P-,",11
NC-JJ,11
DET-RB,11
CLS-NN,10
ADV-NNP,10
V-NNS,9
V-NNP,9
P-PRP$,9
PUNC-RB,9
V-CC,9
ADV-JJ,9
PUNC-NNP,9
NC-CC,9
CS-IN,9
CLS-IN,9
V-TO,8
V-RP,8
V-MD,8
V-'',8
VINF-IN,8
ADV-CC,8
CLS-VB,8
NC-VB,8
P-NNP,8
N-NN,8
ADV-VB,8
NC-'',8
DET-.,8
PUNC-VBD,8
V-VBG,7
CLO-VBD,7
CC-JJ,7
ADJ-IN,7
PUNC-NNS,7
DET-CD,7
P-PRP,7
ADJ-PRP,7
V-VBZ,7
ADJ-DT,6
CLO-DT,6
NC-``,6
VPP-VBN,6
NC-PRP$,6
NC-.,6
P-NNS,6
P-VB,6
N-IN,6
CS-DT,6
ADJ-NNS,6
CLS-RB,6
CLO-NN,6
DET-'',6
DET-VB,6
PROREL-IN,6
PRO-PRP,6
V-VBP,6
ADV-.,6
CLO-RB,6
ADV-'',5
ADJ-VB,5
ADJ-VBD,5
V-JJ,5
V-PRP$,5
CS-RB,5
PRO-VB,5
PUNC-:,5
"CLO-,",5
PUNC-RP,5
ET-NNS,5
NPP-PRP,5
P-CC,5
NC-VBN,5
ET-DT,5
N-RB,5
ADJ-PRP$,5
ET-IN,5
ADV-VBZ,5
PUNC-DT,5
CLO-IN,5
PRO-IN,5
P-VBN,5
V-``,5
CLR-PRP,5
V-.,5
V-VBN,5
CLS-MD,5
CLR-IN,5
CLO-VBP,4
VINF-.,4
VPR-IN,4
CLO-VB,4
V-EX,4
V-WDT,4
VINF-PRP$,4
VINF-VBG,4
CC-VBD,4
ADJ-PDT,4
ADJ-CC,4
VPP-VBD,4
P-'',4
VPP-JJ,4
NC-VBP,4
NC-TO,4
P-``,4
PRO-VBD,4
PRO-NNS,4
P-JJ,4
CC-IN,4
NPP-NNP,4
"N-,",4
C-IN,4
PUNC-JJ,4
ADJ-.,4
DET-VBN,4
"PRO-,",4
CS-NN,4
P-VBP,4
DET-``,4
ADV-PDT,4
CLO-CC,4
PROREL-WP,4
ADV-NNS,4
ADV-MD,4
PROREL-WDT,4
CLS-PRP$,4
PUNC-VB,4
PUNC-VBN,4
PRO-CD,4
PUNC-VBZ,3
CLS-CC,3
CLS-'',3
CLS-EX,3
CLO-VBZ,3
CLS-NNS,3
CLS-NNP,3
CLR-NN,3
CLR-DT,3
ADJ-TO,3
V-PDT,3
VINF-VBD,3
VINF-RB,3
ADJ-'',3
VPR-.,3
VPP-RB,3
CLR-PRP$,3
CLS-VBG,3
CLS-VBP,3
PUNC-VBG,3
PUNC-PRP$,3
"CS-,",3
CLS-VBZ,3
PRO-TO,3
PROREL-NNP,3
PROREL-NN,3
CS-TO,3
PRO-NN,3
ADV-RP,3
CLO-MD,3
PROREL-NNS,3
DET-VBG,3
DET-RP,3
P-VBZ,3
DET-VBP,3
CS-PRP,3
CLO-NNS,3
PRO-PDT,3
PRO-VBP,3
P-.,3
ADV-``,3
ADV-VBN,3
ADV-VBG,3
"CC-,",3
ADV-UH,3
CC-PRP,3
CC-NN,3
NPP-DT,3
NPP-PRP$,3
N-NNP,3
NPP-VBD,3
NC-WRB,3
"NPP-,",3
NC-VBZ,3
NC-VBG,3
NC-MD,3
NC-CD,3
NC-RP,3
NPP-:,3
VPP-VBG,3
VPP-NN,3
VPP-PRP$,3
VPP-VB,3
VINF-VBP,2
ADJ-NNP,2
VPP-.,2
N-VB,2
N-VBG,2
N-VBD,2
VPP-NNS,2
VPP-PRP,2
VPP-DT,2
VPP-CC,2
ADVWH-PRP,2
C-RB,2
N-DT,2
N-CC,2
C-DT,2
DET-MD,2
DET-PDT,2
P-VBG,2
CC-DT,2
CC-RB,2
ADV-VBP,2
NPP-RB,2
NPP-IN,2
NPP-'',2
NC-PDT,2
NC-:,2
DET-UH,2
DET-WRB,2
DET-WDT,2
DET-:,2
DET-VBZ,2
CLO-VBN,2
CLS-CD,2
CLO-EX,2
CLS-``,2
PUNC-WDT,2
PUNC-TO,2
PUNC-PDT,2
CLO-WDT,2
VINF-DT,2
"VINF-,",2
CLR-VBN,2
VINF-TO,2
VINF-PRP,2
VPP-TO,2
ADV-:,2
VPR-NNP,2
VPR-VB,2
VPR-``,2
VINF-VBN,2
VPR-JJ,2
CLO-PRP$,2
ADJ-VBP,2
V-UH,2
CLR-NNP,2
CLR-CC,2
CLR-.,2
"CLR-,",2
PUNC-``,2
V-CD,2
CLR-VBD,2
CLR-TO,2
CLO-VBG,2
PROREL-RB,2
PROREL-VBD,2
PRO-RB,2
CS-VB,2
CS-VBD,2
PRO-PRP$,2
CS-WRB,2
CLS-TO,2
CLS-UH,2
CLS-VBN,2
CLS-PDT,2
ADV-EX,2
CLO-.,2
ADV-TO,2
PROREL-CC,2
PROREL-PRP$,2
CS-PRP$,2
CLO-NNP,2
PRO-CC,2
CS-JJ,2
ADJ-JJS,1
ADJ-MD,1
VPP-``,1
VPP-MD,1
VPP-IN,1
VPP-NNP,1
ADJ-:,1
PREF-WDT,1
PREF-VBZ,1
PREF-NN,1
"PREF-,",1
P-WP,1
P-UH,1
P-POS,1
P-RP,1
N-.,1
N-'',1
ET-VB,1
ET-PRP$,1
ADVWH-VBD,1
N-JJ,1
P-JJS,1
P-PDT,1
ET-NN,1
ET-.,1
ET-'',1
NPP-``,1
N-PRP,1
CC-.,1
N-PDT,1
N-NNS,1
CC-NNS,1
CC-NNP,1
CC-PRP$,1
CC-PDT,1
P-:,1
ADV-WDT,1
ADV-WRB,1
ADVWH-NN,1
NC-JJS,1
NC-POS,1
NC-RBR,1
NPP-NN,1
NPP-.,1
NPP-JJ,1
NC-UH,1
NC-WP,1
NPP-VBN,1
NPP-VB,1
NPP-VBP,1
CC-VBN,1
N-PRP$,1
CC-VBP,1
N-VBN,1
N-VBP,1
VPP-:,1
"VPP-,",1
VINF-``,1
VPR-'',1
PRO-WP,1
PROREL-DT,1
PROREL-JJ,1
PROREL-PDT,1
PROREL-VB,1
CS-VBN,1
CS-VBG,1
CS-NNS,1
CS-``,1
CS-NNP,1
PRO-JJ,1
PRO-MD,1
PUNC-RBS,1
CLS-WRB,1
CS-'',1
CS-.,1
PUNC-EX,1
PUNC-CD,1
PUNC-CC,1
CLS-RP,1
CLO-'',1
CL-VB,1
CLO-JJ,1
CLO-:,1
ADV-JJS,1
ADV-PRP$,1
PROREL-WRB,1
PUNC-'',1
PROREL-VBP,1
CS-CC,1
CL-MD,1
CC-``,1
PRO-RP,1
PRO-VBG,1
PRO-VBN,1
PRO-WDT,1
PROREL-:,1
PROREL-.,1
PRO-``,1
CLR-'',1
CLR-RB,1
CLS-JJ,1
CLR-VBZ,1
CLR-VB,1
ADJ-VBN,1
ADJ-VBG,1
ADJ-UH,1
ADJ-RBS,1
VINF-JJ,1
VINF-:,1
CLR-EX,1
V-WRB,1
CLR-:,1
CLR-RP,1
V-:,1
VPR-DT,1
VPR-NN,1
ADJ-``,1
ADJ-WDT,1
ADJ-VBZ,1
CLO-TO,1
CLO-RP,1
VPR-RB,1
VPR-TO,1
VPR-PRP,1
"VPR-,",1
VINF-MD,1
VINF-NNP,1
VINF-RP,1
VINF-RBR,1
VINF-NNS,1
VINF-PDT,1
VPR-VBD,1
VPR-VBG,1
VS-.,1
VS-PRP,1
