alignment_pos,count
DET-DT,139
NC-NN,134
V-VBD,121
"PUNC-,",116
P-IN,109
CLS-PRP,70
ADV-RB,60
NC-NNS,51
CC-CC,47
VINF-VB,44
NC-NNP,42
PUNC-.,42
CLO-PRP,40
P-TO,40
DET-PRP$,40
ADJ-JJ,36
P-DT,26
V-RB,25
V-VBP,22
NPP-NNP,22
V-VB,22
VPP-VBN,22
V-PRP,21
CS-IN,21
V-IN,21
NC-DT,21
P-NN,19
V-VBN,18
ADV-IN,18
PROREL-WP,18
V-MD,17
NC-IN,15
DET-NN,15
ADJ-DT,14
V-VBG,14
V-NN,14
ADJ-IN,14
ADV-NN,14
NPP-NN,14
VINF-TO,14
PUNC-:,13
ADV-VBD,13
VPP-VBD,13
ADV-DT,12
VINF-VBD,12
ADV-VB,12
DET-NNP,12
NC-JJ,12
NC-RB,11
DET-NNS,11
P-RB,11
NC-VBD,11
ADV-PRP,10
VPR-VBG,10
PRO-PRP,10
VINF-PRP,10
VINF-NN,10
VINF-IN,10
ADV-VBN,10
NPP-'',10
N-NN,9
NC-PRP$,9
ADJ-NN,9
DET-IN,9
V-DT,9
ADJ-VBN,9
VINF-PRP$,9
ADJ-PRP,8
P-PRP,8
NC-NNPS,8
P-VBD,8
ADJ-RB,8
NC-VB,8
NC-PRP,8
V-VBZ,8
DET-VBD,8
DET-JJ,8
CLO-TO,8
VPP-IN,8
VINF-DT,8
DET-RB,7
DET-PRP,7
P-VB,7
NPP-IN,7
PRO-DT,7
CLO-IN,7
CLO-VB,7
CLS-VBN,7
ADJ-VBD,7
CLO-VBD,7
ADV-VBP,7
CLR-VBD,6
VINF-NNP,6
P-NNS,6
NC-VBN,6
P-JJ,6
CLO-DT,6
ADV-JJ,6
N-RB,6
V-TO,6
NPP-.,6
CLO-RB,6
CLO-NN,6
PROREL-WDT,5
V-RP,5
P-POS,5
ADJ-JJS,5
ADJ-PDT,5
NPP-``,5
CLR-PRP,5
CC-IN,5
CLS-IN,5
CLS-VB,5
VINF-VBG,5
VINF-VBN,5
CLS-VBD,5
CLS-NN,5
CLO-VBN,5
DET-VB,5
CS-RB,5
PROREL-IN,5
VPP-RB,5
VPP-JJ,5
VPP-RP,5
NPP-PRP,4
V-JJ,4
CS-WRB,4
N-IN,4
V-NNP,4
CLS-VBP,4
PRO-NN,4
DET-CD,4
V-PRP$,4
"ADV-,",4
ADV-JJS,4
VINF-NNS,4
ADV-MD,4
CLS-VBG,3
CLR-NN,3
ADV-TO,3
CLO-VBP,3
CLS-RB,3
ADJ-VB,3
VPP-PRP,3
ADJ-VBG,3
CS-WDT,3
ET-NN,3
DET-TO,3
ET-NNP,3
VPR-VB,3
P-PRP$,3
NC-RP,3
PRO-IN,3
VPP-DT,3
NPP-NNS,3
P-NNP,3
CLS-DT,3
CLS-MD,2
CLS-TO,2
CLR-VBG,2
CLR-VB,2
CLR-PRP$,2
CLO-NNS,2
CLS-EX,2
"CLS-,",2
CLO-NNP,2
CLO-PRP$,2
CC-VB,2
CC-VBG,2
ADV-JJR,2
VINF-VBP,2
VINF-RP,2
VINF-RB,2
CC-NN,2
CC-TO,2
ADV-RBR,2
ADJ-TO,2
VPP-VBG,2
VPP-VB,2
