alignment_pos,count
P-IN,62
NC-NN,61
ADV-RB,53
DET-DT,43
"PUNC-,",40
V-VBD,35
CLS-PRP,34
DET-NN,32
P-NN,31
NC-NNS,30
NC-IN,30
V-PRP,27
DET-IN,26
NC-DT,24
P-DT,23
V-RB,22
P-RB,22
P-VBD,20
DET-VBD,19
ADV-IN,19
DET-PRP,19
V-IN,17
DET-PRP$,17
CLO-RB,17
CLS-VBD,17
NC-JJ,17
ADJ-JJ,16
NC-VBD,16
DET-NNS,16
"V-,",16
CLO-PRP,15
V-VB,15
ADV-VBD,15
P-NNS,15
P-PRP,15
PUNC-.,15
V-NN,14
VINF-VB,14
PUNC-DT,14
PUNC-NN,14
P-TO,14
P-JJ,13
V-JJ,13
"NC-,",13
CC-CC,13
ADV-VB,12
ADJ-DT,12
"P-,",12
ADV-NN,12
NC-RB,12
DET-RB,12
ADV-DT,11
DET-JJ,11
NPP-NNP,11
ADV-PRP,11
"ADV-,",11
PUNC-PRP,11
NC-NNP,11
ADJ-IN,10
P-PRP$,10
ADJ-NN,10
V-DT,10
NC-PRP,10
P-VBG,10
CLS-RB,10
"DET-,",10
NC-.,9
PUNC-RB,9
PUNC-JJ,9
CLS-NN,9
V-TO,9
V-VBN,9
PUNC-VBD,9
CLO-VB,9
ADJ-RB,9
V-MD,8
PRO-PRP,8
ADJ-VBD,8
ADV-NNP,8
"ADJ-,",8
NC-PRP$,8
VPP-NN,8
VINF-NN,8
VINF-PRP,8
ADV-JJ,8
PUNC-VB,7
V-NNP,7
CLS-JJ,7
CS-PRP,7
VINF-TO,7
N-DT,7
VINF-DT,7
NC-VBG,7
PUNC-IN,7
DET-VB,7
DET-CC,7
VINF-RB,7
V-.,7
CLS-VB,7
VPP-IN,7
VPP-PRP,7
CLS-VBN,7
V-PRP$,7
P-.,7
P-CC,7
PUNC-NNS,6
CLO-VBD,6
V-VBG,6
CLS-IN,6
CLS-DT,6
V-CC,6
"CLS-,",6
V-NNS,6
DET-RP,6
DET-.,6
DET-VBG,6
P-VB,6
NC-VB,6
N-NN,6
V-VBP,6
VINF-VBG,6
CLR-VBD,6
PUNC-PRP$,5
PUNC-NNP,5
NC-CC,5
DET-VBN,5
CLO-IN,5
CC-VBD,5
N-RB,5
VPP-VBD,5
VPP-DT,5
CS-IN,5
CLS-MD,5
ADV-CC,5
PUNC-VBN,5
P-NNP,5
NC-VBN,5
VINF-IN,5
ADV-NNS,5
NC-TO,5
DET-TO,5
P-WRB,5
VPP-JJ,5
ADJ-NNS,4
ADJ-NNP,4
ADJ-PRP$,4
CLO-VBP,4
PUNC-VBG,4
CLS-TO,4
CLO-TO,4
CS-MD,4
VINF-VBD,4
VPP-VBN,4
ADJ-VBN,4
VINF-PRP$,4
PUNC-:,4
N-PRP,4
CLO-DT,4
PUNC-CC,4
PROREL-VBD,4
"NPP-,",4
CLR-NN,4
ADV-VBG,4
ADV-PRP$,4
ADJ-VB,4
"PRO-,",4
P-RP,4
ADV-TO,4
VINF-NNS,4
NPP-RB,4
N-VBG,4
"VINF-,",4
VINF-.,4
N-IN,4
"ET-,",4
DET-:,4
DET-NNP,4
N-PRP$,4
CLO-NN,4
DET-CD,4
PRO-NNS,3
P-VBN,3
PRO-IN,3
PRO-NN,3
ADV-RP,3
ADV-VBN,3
VPR-IN,3
CS-VB,3
CLS-RP,3
CLO-NNS,3
