alignment_pos,count
NC-NN,1462
P-IN,1060
DET-DT,1045
"PONCT-,",871
V-VBD,850
CLS-PRP,508
ADV-RB,492
ADJ-JJ,489
NC-NNS,486
PONCT-.,480
CC-CC,362
DET-PRP$,338
P-DT,313
DET-NN,296
P-NN,262
P-TO,255
NC-IN,240
VINF-VB,236
NC-DT,226
NPP-NNP,222
DET-IN,200
NC-NNP,198
VPP-VBN,180
CLO-PRP,173
NC-JJ,172
P-RB,168
V-RB,162
CS-IN,154
V-VB,151
ADV-IN,150
NC-RB,145
V-IN,142
ADV-VBD,140
V-PRP,138
DET-NNS,132
V-VBN,131
NC-VBD,123
DET-JJ,122
V-NN,113
P-VBD,110
ADJ-NN,106
NC-PRP$,104
CLR-VBD,101
V-MD,100
DET-NNP,100
ADV-NN,99
ADV-VB,95
VPP-VBD,93
V-VBP,91
ADV-DT,90
P-JJ,90
V-VBG,85
ADJ-IN,83
PONCT-NN,82
DET-VBD,82
V-DT,81
ADJ-DT,80
ADV-PRP,80
PONCT-:,77
DET-CD,77
NC-PRP,77
ADJ-RB,76
DET-PRP,76
CLS-VBD,75
"NC-,",73
P-NNS,71
P-PRP,71
"P-,",69
VPP-IN,68
VINF-TO,67
V-VBZ,66
VINF-VBG,65
V-RP,65
ADV-JJ,64
PONCT-IN,64
PROREL-WDT,64
PRO-DT,63
VPP-NN,63
VPR-VBG,62
DET-RB,62
V-TO,62
VINF-VBD,61
NC-VB,59
V-JJ,58
CLO-VBD,55
VPP-JJ,55
P-PRP$,54
NC-VBN,54
ADJ-VBD,54
"DET-,",53
P-VBG,52
P-VB,52
P-NNP,52
NC-VBG,51
PONCT-DT,51
PRO-PRP,51
"VPP-,",50
PRO-NN,48
VINF-IN,48
PROREL-WP,47
VINF-NN,46
CLO-VB,45
PROREL-IN,45
CLS-NN,43
DET-TO,43
CS-RB,43
ADV-MD,42
NC-CC,42
VPP-RB,41
NPP-NN,41
VINF-PRP,41
P-VBN,41
NC-TO,41
ET-NNP,40
CLS-IN,39
NPP-'',39
CLS-DT,38
PONCT-CC,38
VINF-VBN,37
DET-VBN,37
CLO-TO,36
"ADJ-,",36
ADV-VBP,35
VINF-RP,35
CLO-IN,35
DET-VB,35
P-RP,34
CLS-VBN,34
ADJ-VBN,34
CLO-RB,34
ADJ-NNP,34
CS-WRB,33
CLR-PRP,33
VPP-VBG,33
CLR-VB,32
DET-VBG,32
PONCT-JJ,32
PONCT-VBD,32
VINF-RB,32
ADJ-NNS,31
P-CC,31
ADV-VBN,31
VPP-RP,30
"V-,",30
CLR-RP,29
NPP-``,29
VPP-PRP,29
NPP-.,29
NC-RP,28
PONCT-NNS,28
V-NNP,27
CLS-RB,27
VPR-VBD,27
DET-CC,26
VPP-VB,26
PONCT-VBN,26
V-PRP$,25
VPP-DT,25
CLO-NN,25
CC-RB,25
"NPP-,",24
CLR-RB,24
ADJ-VBG,24
ADJ-PRP,24
CLO-DT,24
V-NNS,24
ADJ-CD,24
PONCT-RB,24
ADJ-PRP$,23
CLS-MD,22
CLR-VBN,22
CC-IN,22
VPR-NN,21
VINF-PRP$,21
ADV-TO,21
P-POS,21
NPP-IN,21
VINF-DT,21
PONCT-PRP,20
ET-'',20
NC-VBZ,20
PRO-IN,20
CLS-VB,20
VINF-JJ,19
CLO-VBP,19
ADV-NNP,19
ADV-RBR,19
"CLS-,",19
VPP-CC,18
ADJ-PDT,18
CLR-NN,18
VPR-IN,18
ADV-NNS,18
DET-RP,17
PROREL-DT,17
CC-NN,17
PRO-JJ,17
ADV-VBZ,17
NPP-PRP,17
ADV-CC,17
NC-NNPS,17
NC-CD,16
CLR-TO,16
"ET-,",16
CS-DT,16
P-VBZ,16
NPP-DT,16
P-WRB,16
CS-VBD,15
VINF-NNS,15
PONCT-NNP,15
CLR-VBG,15
CLR-IN,15
CS-NN,15
CLO-PRP$,15
VPP-TO,15
CLO-VBN,14
NPP-VBD,14
V-CC,14
